datetime;timestamp;humidity;pressure;pump_time;soil_moisture;temperature;soil_moisture_roll;soil_moisture_lag1;soil_moisture_lag2;soil_moisture_lag3;soil_diff;hour_sin;hour_cos;partial_pressure;saturated_pressure;VPD
2026-08-03 18:52:48;839090807;36.8;1002.34;0.0;159.95;30.55;162.965;175.74;222.55;93.62;;-0.9743700647852352;0.22495105434386492;1619.9318469938594;4401.988714657227;2.782056867663368
2026-08-03 19:07:48;839091707;37.12;1002.33;0.0;159.7;30.37;162.31199999999998;159.95;175.74;222.55;-0.25;-0.9575713608048146;0.2881962681340887;1617.269295623976;4356.867714504246;2.7395984188802696
2026-08-03 19:22:48;839092607;37.58;1002.42;0.0;157.97;30.36;161.58833333333334;159.7;159.95;175.74;-1.7299999999999898;-0.9366721892483977;0.3502073812594672;1636.3737256622237;4354.373937366216;2.718000211703992
2026-08-03 19:37:48;839093507;38.24;1002.43;0.0;156.26;30.36;160.82714285714286;157.97;159.7;159.95;-1.710000000000008;-0.9117620435770886;0.4107188526134774;1665.112640385556;4354.374059585658;2.689261419200102
2026-08-03 19:52:48;839094407;38.6;1002.32;0.0;157.48;30.2;160.40875;156.26;157.97;159.7;1.2199999999999989;-0.8829475928589268;0.4694715627858912;1665.4446068907573;4314.623333913879;2.6491787270231217
2026-08-03 20:07:48;839095307;39.48;1002.37;0.0;156.99;30.06;160.0288888888889;157.48;156.26;157.97;-0.4899999999999807;-0.8503522249955628;0.5262139236518695;1689.784476666947;4280.102524485681;2.590318047818734
2026-08-03 20:22:48;839096207;39.11;1002.51;0.0;156.99;29.94;159.725;156.99;157.48;156.26;0.0;-0.8141155183563196;0.5807029557109393;1662.4510818785793;4250.705911221118;2.5882548293425387
2026-08-03 20:37:48;839097107;38.67;1002.59;0.0;157.97;29.82;159.56545454545454;156.99;156.99;157.48;0.9799999999999898;-0.7743926440821857;0.6327053285625159;1632.4480162203026;4221.484396742442;2.5890363805221397
2026-08-03 20:52:48;839098007;39.02;1002.62;0.0;156.26;29.63;159.29;157.97;156.99;156.99;-1.710000000000008;-0.7313537016191703;0.6819983600624986;1629.3086967971813;4175.573287537624;2.546264590740443
2026-08-03 21:07:48;839098907;38.41;1002.79;0.0;157.48;29.37;159.15076923076924;156.26;157.97;156.99;1.2199999999999989;-0.6851829903263593;0.7283709698824;1579.977472012171;4113.453454861158;2.5334759828489872
2026-08-03 21:22:48;839099807;37.35;1002.89;0.0;157.48;29.14;159.03142857142856;157.48;156.26;157.97;0.0;-0.6360782202777646;0.7716245833877194;1516.1010265741488;4059.1727619120447;2.5430717353378958
2026-08-03 21:37:48;839100707;38.54;1002.96;0.0;158.21;28.93;158.97666666666666;157.48;157.48;156.26;0.7300000000000182;-0.5842496656374341;0.8115739819650125;1545.5147018013156;4010.1575033765325;2.4646428015752173
2026-08-03 21:52:48;839101607;38.93;1003.11;0.0;156.5;28.68;158.821875;158.21;157.48;157.48;-1.710000000000008;-0.529919264233205;0.8480480961564258;1538.7001778623605;3952.479264994505;2.413779087132144
2026-08-03 22:07:48;839102507;36.76;1003.2;0.0;157.48;28.5;162.813125;156.5;158.21;157.48;0.9799999999999898;-0.4733196671848432;0.8808907382053857;1437.8303776902128;3911.3992864260417;2.4735689087358286
2026-08-03 22:22:48;839103407;36.52;1003.2;0.0;157.97;28.34;158.776875;157.48;156.5;158.21;0.4900000000000091;-0.4146932426562393;0.9099612708765431;1415.2214032348227;3875.195518167641;2.4599741149328183
2026-08-03 22:37:48;839104307;39.99;1003.08;0.0;157.97;28.14;157.66625000000002;157.97;157.48;156.5;0.0;-0.3542910379977166;0.9351352096860114;1531.7570337240422;3830.350171853069;2.2985931381290268
2026-08-03 22:52:48;839105207;38.2;1002.81;0.0;158.21;27.95;157.5575;157.97;157.97;157.48;0.2400000000000091;-0.29237170472273627;0.9563047559630357;1447.0789548585399;3788.164803294607;2.341085848436067
2026-08-03 23:07:48;839106107;38.13;1002.73;0.0;158.21;27.83;157.464375;158.21;157.97;157.97;0.0;-0.22920039092241423;0.9733792584604485;1434.3481918767463;3761.7314237522846;2.3273832318755385
2026-08-03 23:22:48;839107007;37.38;1002.74;0.0;158.21;27.64;157.47937499999998;158.21;158.21;157.97;0.0;-0.16504760586067735;0.9862856015372314;1390.6139875455508;3720.208634418274;2.3295946468727236
2026-08-03 23:37:48;839107907;36.73;1002.71;0.0;158.95;27.54;157.6475;158.21;158.21;158.21;0.7399999999999807;-0.1001880616120765;0.9949685182509117;1358.4645615150728;3698.5150054861774;2.340050443971105
2026-08-03 23:52:48;839108807;37.06;1002.96;0.0;160.45;27.47;157.833125;158.95;158.21;158.21;1.5;-0.03489949670250171;0.9993908270190957;1365.0672901488688;3683.397976656418;2.318330686507549
2026-08-04 00:07:48;839109707;37.32;1003.04;0.0;159.7;27.35;158.0025;160.45;158.95;158.21;-0.75;0.03053851320982266;0.9995335908367129;1365.0180651713524;3657.604676236207;2.2925866110648547
2026-08-04 00:22:48;839110607;38.62;1003.68;0.0;159.95;26.99;158.1875;159.7;160.45;158.95;0.25;0.09584575252022397;0.9953961983671789;1383.0482167258278;3581.170939217576;2.198122722491748
2026-08-04 00:37:48;839111507;39.86;1004.3;0.0;161.97;26.76;158.4375;159.95;159.7;160.45;2.0200000000000102;0.1607425656038261;0.9869963665602319;1408.2827605774276;3533.072655738654;2.124789895161226
